Time [s],Channel 5
6.971305250,0
6.976691833,1
6.980340750,0
6.982657833,1
6.984856333,0
6.986470000,1
6.988123750,0
6.989400667,1
6.990754083,0
6.991827083,1
6.992990333,0
6.993929167,1
6.994955917,0
6.995795000,1
6.996723750,0
6.997485417,1
6.998334500,0
6.999037417,1
6.999827667,0
7.000478417,1
7.001212583,0
7.001825250,1
7.002515917,0
7.003094333,1
7.003747167,0
7.004295083,1
7.004915667,0
7.005437500,1
7.006029417,0
7.006527917,1
7.007094250,0
7.007572500,1
7.008116333,0
7.008575917,1
7.009099250,0
7.009542417,1
7.010047083,0
7.010475083,1
7.010963833,0
7.011378167,1
7.011851000,0
7.012253250,1
7.012712000,0
7.013102500,1
7.013549500,0
7.013929250,1
7.014363500,0
7.014733500,1
7.015157417,0
7.015518250,1
7.015934250,0
7.016283917,1
7.016688250,0
7.017032167,1
7.017428000,0
7.017764417,1
7.018152750,0
7.018481417,1
7.018860083,0
7.019183750,1
7.019555000,0
7.019872667,1
7.020236917,0
7.020548333,1
7.020906417,0
7.021212250,1
7.021564417,0
7.021864833,1
7.022210917,0
7.022506417,1
7.022847750,0
7.023137917,1
7.023472833,0
7.023759167,1
7.024089250,0
7.024371333,1
7.024696750,0
7.024975000,1
7.025295500,0
7.025569833,1
7.025885833,0
7.026156583,1
7.026468833,0
7.026735667,1
7.027044167,0
7.027307417,1
7.027611667,0
7.027872167,1
7.028173750,0
7.028429833,1
7.028727250,0
7.028981250,1
7.029275167,0
7.029526167,1
7.029816833,0
7.030065083,1
7.030352750,0
7.030598583,1
7.030882667,0
7.031125750,1
7.031407000,0
7.031647500,1
7.031926667,0
7.032164333,1
7.032442250,0
7.032676250,1
7.032949583,0
7.033182917,1
7.033453750,0
7.033684750,1
7.033953250,0
7.034182667,1
7.034449417,0
7.034675667,1
7.034939917,0
7.035164917,1
7.035426417,0
7.035650333,1
7.035909000,0
7.036130167,1
7.036387583,0
7.036607000,1
7.036862500,0
7.037080083,1
7.037333750,0
7.037549667,1
7.037801583,0
7.038015667,1
7.038265667,0
7.038478333,1
7.038726333,0
7.038937417,1
7.039183917,0
7.039393417,1
7.039638250,0
7.039846333,1
7.040089750,0
7.040296167,1
7.040538000,0
7.040743167,1
7.040983167,0
7.041186750,1
7.041425667,0
7.041628000,1
7.041867417,0
7.042066250,1
7.042302250,0
7.042501833,1
7.042737250,0
7.042935000,1
7.043169583,0
7.043365500,1
7.043596917,0
7.043793583,1
7.044023833,0
7.044218833,1
7.044447833,0
7.044642333,1
7.044870000,0
7.045064583,1
7.045289667,0
7.045482083,1
7.045708333,0
7.045897917,1
7.046122417,0
7.046312583,1
7.046535583,0
7.046724417,1
7.046946583,0
7.047134917,1
7.047355750,0
7.047542833,1
7.047764667,0
7.047949333,1
7.048168000,0
7.048353417,1
7.048571333,0
7.048756000,1
7.048972667,0
7.049156250,1
7.049372250,0
7.049555333,1
7.049770083,0
7.049952167,1
7.050166167,0
7.050347583,1
7.050560667,0
7.050741333,1
7.050954583,0
7.051133333,1
7.051344583,0
7.051523667,1
7.051734000,0
7.051912750,1
7.052122083,0
7.052299750,1
7.052508333,0
7.052685667,1
7.052893667,0
7.053069750,1
7.053276833,0
7.053453083,1
7.053659417,0
7.053834250,1
7.054039500,0
7.054214500,1
7.054419500,0
7.054592750,1
7.054796417,0
7.054970167,1
7.055173833,0
7.055346083,1
7.055548500,0
7.055720833,1
7.055923083,0
7.056094833,1
7.056295667,0
7.056466750,1
7.056668833,0
7.056838083,1
7.057037750,0
7.057209250,1
7.057408000,0
7.057576667,1
7.057775250,0
7.057943833,1
7.058142250,0
7.058310583,1
7.058508083,0
7.058675750,1
7.058872667,0
7.059040250,1
7.059236500,0
7.059403333,1
7.059598750,0
7.059765333,1
7.059960500,0
7.060126417,1
7.060320917,0
7.060486250,1
7.060680500,0
7.060845583,1
7.061039000,0
7.061203500,1
7.061396667,0
7.061562000,1
7.061753333,0
7.061916833,1
7.062108750,0
7.062272167,1
7.062463583,0
7.062626333,1
7.062817167,0
7.062979750,1
7.063170083,0
7.063332583,1
7.063522000,0
7.063683750,1
7.063873333,0
7.064034583,1
7.064227083,0
7.064384500,1
7.064573250,0
