Time, n - aac oeeuo?a	 "/s - aac oeeuo?a	Time, n - oeeuo? 3Ao	 "/s - oeeuo? 3Ao	
5309	197	5309	-51	
5310	218	5310	-20	
5311	238	5311	9	
5312	252	5312	38	
5313	259	5313	64	
5314	260	5314	87	
5315	261	5315	108	
5316	270	5316	127	
5317	279	5317	144	
5318	286	5318	161	
5319	289	5319	176	
5320	287	5320	189	
5321	287	5321	201	
5322	287	5322	211	
5323	295	5323	221	
5324	303	5324	230	
5325	304	5325	239	
5326	301	5326	247	
5327	295	5327	253	
5328	292	5328	258	
5329	293	5329	262	
5330	298	5330	266	
5331	302	5331	270	
5332	300	5332	274	
5333	296	5333	277	
5334	292	5334	279	
5335	295	5335	280	
5336	303	5336	283	
5337	307	5337	285	
5338	312	5338	288	
5339	310	5339	291	
5340	302	5340	293	
5341	301	5341	294	
5342	304	5342	295	
5343	310	5343	296	
5344	314	5344	298	
5345	314	5345	300	
5346	311	5346	302	
5347	309	5347	303	
5348	310	5348	303	
5349	317	5349	304	
5350	324	5350	306	
5351	328	5351	309	
5352	326	5352	311	
5353	325	5353	313	
5354	322	5354	314	
5355	325	5355	315	
5356	330	5356	317	
5357	333	5357	318	
5358	333	5358	320	
5359	328	5359	321	
5360	325	5360	322	
5361	328	5361	322	
5362	332	5362	323	
5363	337	5363	325	
5364	339	5364	326	
5365	336	5365	328	
5366	333	5366	329	
5367	332	5367	329	
5368	334	5368	329	
5369	337	5369	330	
5370	339	5370	331	
5371	337	5371	332	
5372	331	5372	332	
5373	325	5373	332	
5374	324	5374	331	
5375	328	5375	330	
5376	332	5376	330	
5377	333	5377	331	
5378	331	5378	331	
5379	327	5379	331	
5380	323	5380	330	
5381	325	5381	329	
5382	329	5382	329	
5383	330	5383	329	
5384	325	5384	329	
5385	317	5385	328	
5386	311	5386	326	
5387	308	5387	324	
5388	312	5388	322	
5389	316	5389	321	
5390	314	5390	321	
5391	311	5391	320	
5392	306	5392	318	
5393	304	5393	317	
5394	308	5394	315	
5395	314	5395	315	
5396	318	5396	315	
5397	316	5397	315	
5398	309	5398	315	
5399	304	5399	314	
5400	304	5400	313	
5401	307	5401	312	
5402	313	5402	312	
5403	315	5403	312	
5404	313	5404	312	
5405	310	5405	312	
5406	311	5406	312	
5407	316	5407	312	
5408	325	5408	313	
5409	330	5409	315	
5410	330	5410	317	
5411	328	5411	318	
5412	324	5412	319	
5413	327	5413	320	
5414	334	5414	321	
5415	341	5415	323	
5416	344	5416	325	
5417	342	5417	328	
5418	339	5418	329	
