Vx,Vy,Vz
6.3e-06,2.51e-05,2.39e-05
7.8e-06,2.66e-05,2.54e-05
5.6e-06,2.44e-05,2.39e-05
2.6e-06,2.15e-05,2.39e-05
1.1e-06,2.45e-05,2.54e-05
3e-07,2.22e-05,2.39e-05
-6.4e-06,1.94e-05,2.46e-05
-5.7e-06,2.01e-05,2.16e-05
-4.1e-06,2.39e-05,2.69e-05
-7.2e-06,1.94e-05,2.23e-05
-1.2e-06,2.37e-05,2.23e-05
-1.2e-06,2.6e-05,2.46e-05
-1.2e-06,2.45e-05,2.31e-05
6.2e-06,3.19e-05,2.46e-05
6.2e-06,3.11e-05,2.38e-05
6.2e-06,3.27e-05,2.54e-05
8.4e-06,3.49e-05,2.54e-05
5.4e-06,3.34e-05,2.38e-05
4.6e-06,3.49e-05,2.46e-05
1e-07,3.5e-05,2.46e-05
-7e-07,3.57e-05,2.31e-05
-2.9e-06,3.51e-05,2.61e-05
-4.4e-06,3.58e-05,2.53e-05
-5.1e-06,3.36e-05,2.38e-05
-5.9e-06,3.21e-05,2.31e-05
-2.9e-06,3.51e-05,2.61e-05
-5.1e-06,3.13e-05,2.46e-05
2e-07,3.12e-05,2.38e-05
1.7e-06,3.2e-05,2.46e-05
4.7e-06,3.12e-05,2.54e-05
4.7e-06,2.81e-05,2.23e-05
7e-06,2.96e-05,2.46e-05
5.5e-06,2.59e-05,2.39e-05
5.6e-06,2.75e-05,2.69e-05
3.3e-06,2.37e-05,2.23e-05
1.1e-06,2.45e-05,2.54e-05
1.1e-06,2.37e-05,2.46e-05
-3.3e-06,2.01e-05,2.54e-05
-6.4e-06,2.23e-05,2.31e-05
-5.6e-06,2.16e-05,2.46e-05
-4.9e-06,2.23e-05,2.46e-05
-5.7e-06,2.31e-05,2.46e-05
-1.2e-06,2.45e-05,2.46e-05
-2e-06,2.6e-05,2.39e-05
3e-07,2.37e-05,2.39e-05
4.7e-06,3.19e-05,2.61e-05
5.4e-06,3.19e-05,2.38e-05
5.4e-06,3.19e-05,2.54e-05
5.4e-06,3.49e-05,2.54e-05
3.1e-06,3.5e-05,2.61e-05
9e-07,3.42e-05,2.46e-05
1.6e-06,3.42e-05,2.23e-05
-4.4e-06,3.5e-05,2.31e-05
-3.6e-06,3.66e-05,2.69e-05
-4.4e-06,3.66e-05,2.61e-05
-5.9e-06,3.28e-05,2.38e-05
-4.4e-06,3.66e-05,2.61e-05
-5.2e-06,3.43e-05,2.31e-05
-1.4e-06,3.28e-05,2.38e-05
-6e-07,3.5e-05,2.54e-05
9e-07,3.19e-05,2.23e-05
4.7e-06,3.19e-05,2.61e-05
3.9e-06,3.19e-05,2.38e-05
6.2e-06,2.96e-05,2.39e-05
6.2e-06,2.89e-05,2.46e-05
3.2e-06,2.74e-05,2.31e-05
2.5e-06,2.67e-05,2.46e-05
-5e-07,2.6e-05,2.54e-05
-1.3e-06,2.45e-05,2.16e-05
-3.4e-06,2.23e-05,2.46e-05
-5.7e-06,2.23e-05,2.39e-05
-4.9e-06,2.31e-05,2.39e-05
-4.2e-06,2.46e-05,2.46e-05
-2.7e-06,2.46e-05,2.62e-05
-2.7e-06,2.45e-05,2.31e-05
-3.5e-06,2.53e-05,2.16e-05
4.8e-06,2.9e-05,2.61e-05
5.4e-06,2.96e-05,2.31e-05
