"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
83580100,83580100,0,22,35.84,22,35.84,0,0.00,0,-3,3,2.06,2.06,2.06,0.000,43.5,461,440,-2,0,16
83580100,83580100,0,23,35.84,23,35.84,0,0.00,14,16,-30,2.13,2.06,2.11,0.000,43.4,462,441,107,0,16
83580100,83580100,0,23,35.82,23,35.82,0,0.00,4,6,-10,2.13,2.06,2.14,0.000,43.4,461,438,217,0,16
83580100,83580100,0,22,35.83,22,35.83,0,0.00,0,0,0,2.08,2.06,2.08,0.000,43.5,459,438,326,0,16
83580100,83580100,0,23,35.82,23,35.82,0,0.00,-11,0,11,2.14,2.06,2.11,0.000,43.4,464,437,436,0,16
83580100,83580100,0,23,35.84,23,35.84,0,0.00,-15,-23,38,2.08,2.06,2.08,0.000,43.5,460,439,541,0,16
83580100,83580100,0,25,35.84,25,35.84,0,0.00,14,14,-28,2.14,2.06,2.14,0.000,43.5,461,440,654,0,16
83580100,83580100,0,23,35.82,23,35.82,0,0.00,-11,-13,24,2.14,2.08,2.11,0.000,43.4,466,440,762,0,16
83580100,83580100,0,24,35.85,24,35.85,0,0.00,6,0,-6,2.08,2.06,2.06,0.000,43.5,458,438,872,0,16
83580100,83580100,0,24,35.85,24,35.85,0,0.00,-3,-5,8,2.06,2.01,2.08,0.000,43.4,461,440,979,0,16
83580100,83580100,0,22,35.83,22,35.83,0,0.00,-9,-11,20,2.25,2.14,2.18,0.000,43.5,462,441,1089,0,16
83580100,83580100,0,23,35.83,23,35.83,0,0.00,6,4,-10,2.14,2.06,2.14,0.000,43.4,463,441,1212,0,16
83580100,83580100,0,22,35.82,22,35.82,0,0.00,22,14,-36,2.06,2.06,2.06,0.000,43.4,459,437,1323,0,16
83580100,83580100,0,24,35.83,24,35.83,0,0.00,-5,6,-1,2.20,2.06,2.16,0.000,43.4,464,439,1445,0,16
83580100,83580100,0,22,35.82,22,35.82,0,0.00,-17,-23,40,2.11,2.01,2.11,0.000,43.5,459,438,1555,0,16
83580100,83580100,0,24,35.85,24,35.85,0,0.00,12,8,-20,2.06,2.06,2.06,0.000,43.4,463,440,1663,0,16
83580100,83580100,0,24,35.83,24,35.83,0,0.00,8,8,-16,2.14,2.11,2.14,0.000,43.4,462,441,1774,0,16
83580100,83580100,0,23,35.83,23,35.83,0,0.00,0,4,-4,2.11,2.09,2.11,0.000,43.4,461,437,1881,0,16
83580100,83580100,0,21,35.83,21,35.83,0,0.00,-7,4,3,2.18,2.11,2.18,0.000,43.4,460,441,1991,0,16
83580100,83580100,0,23,35.83,23,35.83,0,0.00,2,-11,9,2.16,2.11,2.16,0.000,43.4,461,440,2093,0,16
83580100,83580100,0,21,35.83,21,35.83,0,0.00,-15,-5,20,2.09,2.09,2.09,0.000,43.4,460,441,2205,0,16
83580100,83580100,0,21,35.82,21,35.82,0,0.00,0,-5,5,2.16,2.11,2.16,0.000,43.4,462,442,2318,0,16
