"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
0,0,0,29,35.84,29,35.84,0,0.00,20,22,-42,17.22,16.44,17.16,0.000,35.2,1706,1407,-2,0,16
0,0,0,30,35.83,30,35.83,0,0.00,14,10,-24,17.31,16.51,17.26,0.000,35.2,1708,1404,103,0,16
0,0,0,29,35.84,29,35.84,0,0.00,8,6,-14,17.26,16.46,17.19,0.000,35.2,1707,1403,215,0,16
0,0,0,30,35.83,30,35.83,0,0.00,16,18,-34,17.22,16.43,17.16,0.000,35.1,1709,1405,327,0,16
0,0,0,31,35.84,31,35.84,0,0.00,24,18,-42,17.16,16.50,17.09,0.000,35.1,1710,1409,431,0,16
0,0,0,29,35.83,29,35.83,0,0.00,20,14,-34,17.22,16.48,17.16,0.000,35.1,1711,1407,543,0,16
0,0,0,31,35.85,31,35.85,0,0.00,14,16,-30,17.27,16.51,17.21,0.000,35.1,1708,1408,654,0,16
0,0,0,32,35.84,32,35.84,0,0.00,22,16,-38,17.27,16.48,17.17,0.000,35.1,1713,1409,761,0,16
0,0,0,30,35.83,30,35.83,0,0.00,4,-3,-1,17.17,16.58,17.17,0.000,35.2,1709,1407,871,0,16
0,0,0,31,35.85,31,35.85,0,0.00,-9,2,7,17.22,16.50,17.12,0.000,35.2,1710,1409,980,0,16
0,0,0,30,35.84,30,35.84,0,0.00,22,14,-36,17.26,16.48,17.17,0.000,35.2,1709,1409,1090,0,16
0,0,0,32,35.84,32,35.84,0,0.00,8,2,-10,17.21,16.56,17.14,0.000,35.1,1715,1410,1199,0,16
0,0,0,30,35.85,30,35.85,0,0.00,4,18,-22,17.17,16.63,17.12,0.000,35.1,1715,1411,1308,0,16
0,0,0,31,35.84,31,35.84,0,0.00,18,12,-30,17.27,16.63,17.17,0.000,35.2,1712,1410,1418,0,16
0,0,0,29,35.84,29,35.84,0,0.00,8,4,-12,17.19,16.58,17.12,0.000,35.1,1713,1410,1527,0,16
0,0,0,28,35.85,28,35.85,0,0.00,-7,-9,16,17.22,16.55,17.12,0.000,35.1,1715,1415,1636,0,16
0,0,0,29,35.85,29,35.85,0,0.00,4,-3,-1,17.26,16.61,17.17,0.000,35.1,1715,1411,1743,0,16
0,0,0,28,35.84,28,35.84,0,0.00,0,-7,7,17.14,16.60,17.09,0.000,35.1,1717,1415,1855,0,16
0,0,0,31,35.86,31,35.86,0,0.00,12,6,-18,17.26,16.56,17.17,0.000,35.2,1714,1412,1960,0,16
0,0,0,29,35.84,29,35.84,0,0.00,12,6,-18,17.17,16.58,17.16,0.000,35.1,1717,1414,2072,0,16
0,0,0,29,35.84,29,35.84,0,0.00,8,-3,-5,17.16,16.66,17.04,0.000,35.1,1717,1414,2179,0,16
0,0,0,28,35.84,28,35.84,0,0.00,12,0,-12,17.22,16.65,17.12,0.000,35.2,1717,1411,2289,0,16
0,0,0,28,35.84,28,35.84,0,0.00,16,18,-34,17.22,16.58,17.16,0.000,35.2,1719,1419,2412,0,16
69,19,3,63,35.82,63,35.82,0,0.00,-266,-254,520,14.21,22.33,14.31,0.000,35.0,2014,1649,2508,0,16
689,630,26,105,35.82,105,35.82,0,0.00,233,-462,229,19.53,19.07,12.25,0.000,34.9,1918,1547,2631,0,16
1791,1737,49,135,35.81,135,35.81,0,0.00,227,143,-370,19.56,12.84,18.54,0.000,35.1,1598,1296,2740,0,16
3410,3375,70,161,35.82,161,35.82,0,0.00,-337,-55,392,13.42,20.95,16.53,0.000,35.0,1954,1582,2850,0,16
5481,5446,87,165,35.82,165,35.82,0,0.00,201,263,-464,19.29,11.98,19.76,0.000,35.1,1584,1285,2957,0,16
