"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
288000,288000,0,35,35.84,35,35.84,0,0.00,12,-13,1,17.44,16.33,17.09,0.000,37.4,1864,1576,-1,0,16
288000,288000,0,35,35.83,35,35.83,0,0.00,38,16,-54,17.39,16.33,17.02,0.000,37.4,1863,1575,103,0,16
288000,288000,0,36,35.83,36,35.83,0,0.00,32,-7,-25,17.60,16.55,17.14,0.000,37.4,1865,1575,215,0,16
288000,288000,0,34,35.83,34,35.83,0,0.00,36,6,-42,17.44,16.33,17.09,0.000,37.4,1863,1577,326,0,16
288000,288000,0,32,35.83,32,35.83,0,0.00,36,6,-42,17.53,16.34,17.14,0.000,37.4,1862,1577,431,0,16
288000,288000,0,34,35.83,34,35.83,0,0.00,34,10,-44,17.36,16.28,17.02,0.000,37.3,1867,1581,543,0,16
288000,288000,0,36,35.84,36,35.84,0,0.00,42,16,-58,17.49,16.22,17.09,0.000,37.4,1866,1572,653,0,16
288000,288000,0,36,35.84,36,35.84,0,0.00,44,8,-52,17.46,16.34,17.09,0.000,37.4,1863,1581,761,0,16
288000,288000,0,35,35.83,35,35.83,0,0.00,34,12,-46,17.36,16.34,17.02,0.000,37.4,1863,1577,870,0,16
288000,288000,0,35,35.82,35,35.82,0,0.00,36,4,-40,17.49,16.36,17.09,0.000,37.4,1863,1575,980,0,16
288000,288000,0,36,35.82,36,35.82,0,0.00,32,-3,-29,17.55,16.28,17.17,0.000,37.3,1868,1574,1088,0,16
288000,288000,0,36,35.83,36,35.83,0,0.00,46,18,-64,17.44,16.31,17.12,0.000,37.4,1864,1576,1199,0,16
288000,288000,0,34,35.82,34,35.82,0,0.00,28,-3,-25,17.44,16.34,17.12,0.000,37.4,1864,1575,1308,0,16
288000,288000,0,35,35.84,35,35.84,0,0.00,18,-5,-13,17.38,16.33,17.04,0.000,37.4,1865,1579,1415,0,16
288000,288000,0,34,35.83,34,35.83,0,0.00,36,4,-40,17.44,16.36,17.05,0.000,37.3,1867,1575,1524,0,16
288000,288000,0,34,35.83,34,35.83,0,0.00,42,10,-52,17.41,16.33,17.12,0.000,37.4,1866,1579,1634,0,16
288000,288000,0,36,35.83,36,35.83,0,0.00,46,18,-64,17.44,16.36,17.14,0.000,37.4,1861,1577,1742,0,16
288000,288000,0,37,35.81,37,35.81,0,0.00,52,26,-78,17.46,16.24,17.09,0.000,37.3,1866,1573,1863,0,16
288000,288000,0,34,35.83,34,35.83,0,0.00,40,10,-50,17.49,16.29,17.09,0.000,37.3,1866,1578,1976,0,16
288095,288043,3,84,35.81,84,35.81,0,0.00,-407,-142,549,13.01,22.15,15.70,0.000,37.2,2028,1669,2086,0,16
288651,288598,25,98,35.80,98,35.80,0,0.00,82,-436,354,17.90,20.20,12.62,0.000,37.2,1933,1553,2194,0,16
289717,289678,47,130,35.80,130,35.80,0,0.00,320,8,-328,20.34,13.57,17.02,0.000,37.5,1629,1326,2303,0,16
291308,291272,66,143,35.80,143,35.80,0,0.00,-508,211,297,11.55,20.07,19.17,0.000,37.5,1883,1540,2413,0,16
293416,293386,85,155,35.79,155,35.79,0,0.00,410,106,-516,21.47,11.44,18.15,0.000,37.4,1594,1319,2523,0,16
295652,295606,101,155,35.80,155,35.80,0,0.00,-87,-448,535,16.36,22.05,12.55,0.000,37.4,2024,1661,2618,0,16
298723,298692,125,179,35.81,179,35.81,0,0.00,-283,-13,296,14.06,19.85,17.07,0.000,37.5,1867,1515,2728,0,16
302381,302329,145,251,35.77,251,35.77,0,0.00,-609,-75,684,10.59,23.89,16.38,0.000,37.5,1970,1600,2839,0,16
306376,306341,162,267,35.75,267,35.75,0,0.00,-206,-621,827,15.19,24.87,10.76,0.000,37.3,2195,1803,2947,0,16
311708,311652,183,272,35.76,272,35.76,0,0.00,223,427,-650,19.66,9.73,21.56,0.000,37.4,1550,1335,3073,0,16
316769,316704,201,254,35.77,254,35.77,0,0.00,-583,-65,648,10.78,23.40,16.58,0.000,37.5,1878,1515,3180,0,16
322479,322377,223,298,35.76,298,35.76,0,0.00,261,459,-720,19.95,8.98,21.84,0.000,37.5,1569,1357,3290,0,16
328710,328692,239,218,35.81,218,35.81,0,0.00,642,-565,-77,23.91,16.29,10.81,0.000,37.4,1902,1550,3400,0,16
335392,335369,260,272,35.80,272,35.80,0,0.00,112,-581,469,18.48,21.71,10.78,0.000,37.4,1987,1622,3509,0,16
342582,342443,277,301,35.76,301,35.76,0,0.00,-3,-538,541,17.04,22.84,11.03,0.000,37.4,2033,1666,3618,0,16
350276,349962,296,364,35.75,364,35.75,0,0.00,525,-931,406,22.54,21.47,6.66,0.000,37.4,2164,1783,3727,0,16
358561,358475,334,420,35.75,420,35.75,0,0.00,197,582,-779,19.53,8.12,23.32,0.000,37.4,1667,1459,3836,0,16
368518,368433,337,375,35.74,375,35.74,0,0.00,876,-544,-332,26.43,13.55,10.86,0.000,37.4,2051,1734,3961,0,16
377758,377586,353,334,35.76,334,35.76,0,0.00,-710,300,410,8.85,21.37,20.52,0.000,37.5,1663,1361,4070,0,16
387155,386963,355,278,35.75,278,35.75,0,0.00,475,169,-644,22.72,9.37,18.90,0.000,37.4,1800,1549,4180,0,16
397750,397534,355,260,35.79,260,35.79,0,0.00,487,14,-501,22.67,11.27,16.90,0.000,37.5,1852,1592,4304,0,16
405952,405719,356,274,35.78,274,35.78,0,0.00,-347,727,-380,13.33,12.55,25.13,0.000,37.5,1587,1373,4400,0,16
415178,414984,357,261,35.78,261,35.78,0,0.00,531,-508,-23,23.25,16.28,11.30,0.000,37.5,1991,1662,4508,0,16
425861,425642,355,262,35.76,262,35.76,0,0.00,439,-629,190,21.93,19.15,9.88,0.000,37.4,2031,1676,4633,0,16
436539,436333,358,292,35.77,292,35.77,0,0.00,326,-571,245,20.59,20.07,10.37,0.000,37.4,2022,1672,4758,0,16
445852,445694,357,267,35.78,267,35.78,0,0.00,-591,519,72,10.30,17.60,23.03,0.000,37.5,1605,1335,4867,0,16
455336,455170,357,268,35.78,268,35.78,0,0.00,475,-55,-420,22.96,11.54,16.44,0.000,37.4,1867,1594,4978,0,16
