"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
0,0,0,31,35.84,31,35.84,0,0.00,0,6,-6,17.14,16.51,17.21,0.000,32.0,1869,1541,-1,0,16
0,0,0,31,35.84,31,35.84,0,0.00,-3,16,-13,17.21,16.48,17.26,0.000,31.9,1873,1539,110,0,16
0,0,0,32,35.84,32,35.84,0,0.00,-5,4,1,17.27,16.41,17.34,0.000,31.9,1873,1546,207,0,16
0,0,0,32,35.84,32,35.84,0,0.00,16,34,-50,17.22,16.39,17.24,0.000,32.0,1871,1542,316,0,16
0,0,0,31,35.84,31,35.84,0,0.00,16,34,-50,17.02,16.51,17.09,0.000,32.0,1875,1539,427,0,16
0,0,0,30,35.84,30,35.84,0,0.00,14,32,-46,17.22,16.41,17.26,0.000,32.0,1875,1538,534,0,16
0,0,0,33,35.84,33,35.84,0,0.00,14,12,-26,17.22,16.41,17.26,0.000,32.0,1869,1545,647,0,16
0,0,0,32,35.83,32,35.83,0,0.00,12,22,-34,17.27,16.48,17.34,0.000,32.0,1872,1540,760,0,16
0,0,0,31,35.86,31,35.86,0,0.00,2,12,-14,17.26,16.51,17.27,0.000,32.0,1871,1546,871,0,16
0,0,0,32,35.84,32,35.84,0,0.00,20,26,-46,17.17,16.51,17.21,0.000,32.0,1879,1540,974,0,16
0,0,0,31,35.84,31,35.84,0,0.00,-9,-7,16,17.21,16.41,17.27,0.000,32.0,1872,1539,1093,0,16
0,0,0,34,35.84,34,35.84,0,0.00,24,36,-60,17.19,16.46,17.26,0.000,32.0,1874,1539,1191,0,16
0,0,0,32,35.85,32,35.85,0,0.00,12,22,-34,17.26,16.41,17.34,0.000,32.0,1872,1538,1300,0,16
0,0,0,31,35.84,31,35.84,0,0.00,20,26,-46,17.14,16.50,17.26,0.000,32.0,1874,1536,1411,0,16
0,0,0,32,35.84,32,35.84,0,0.00,12,26,-38,17.17,16.51,17.27,0.000,32.0,1871,1539,1523,0,16
0,0,0,33,35.84,33,35.84,0,0.00,14,24,-38,17.22,16.41,17.27,0.000,32.0,1873,1539,1632,0,16
0,0,0,32,35.83,32,35.83,0,0.00,12,36,-48,17.22,16.41,17.34,0.000,32.0,1873,1539,1742,0,16
0,0,0,31,35.84,31,35.84,0,0.00,14,28,-42,17.17,16.48,17.26,0.000,32.0,1875,1544,1846,0,16
0,0,0,33,35.84,33,35.84,0,0.00,14,24,-38,17.22,16.48,17.33,0.000,32.0,1873,1543,1959,0,16
0,0,0,32,35.84,32,35.84,0,0.00,20,30,-50,17.16,16.36,17.29,0.000,32.0,1873,1545,2071,0,16
0,0,0,32,35.85,32,35.85,0,0.00,0,14,-14,17.12,16.53,17.19,0.000,32.0,1867,1543,2188,0,16
0,0,0,33,35.84,33,35.84,0,0.00,16,22,-38,17.16,16.60,17.22,0.000,32.0,1869,1543,2299,0,16
0,0,0,32,35.84,32,35.84,0,0.00,24,34,-58,17.16,16.53,17.19,0.000,32.0,1877,1538,2395,0,16
0,0,0,30,35.83,30,35.83,0,0.00,6,12,-18,17.22,16.48,17.27,0.000,32.0,1874,1542,2506,0,16
0,0,0,32,35.84,32,35.84,0,0.00,10,28,-38,17.17,16.51,17.24,0.000,32.0,1874,1539,2616,0,16
0,0,0,30,35.84,30,35.84,0,0.00,16,22,-38,17.19,16.46,17.22,0.000,32.1,1873,1539,2727,0,16
0,0,0,31,35.84,31,35.84,0,0.00,0,16,-16,17.22,16.38,17.29,0.000,32.1,1871,1539,2837,0,16
0,0,0,31,35.84,31,35.84,0,0.00,18,28,-46,17.19,16.43,17.22,0.000,32.1,1873,1538,2942,0,16
0,0,0,30,35.82,30,35.82,0,0.00,18,22,-40,17.26,16.41,17.33,0.000,32.0,1873,1545,3060,0,16
0,0,0,32,35.84,32,35.84,0,0.00,-3,22,-19,17.22,16.41,17.22,0.000,32.0,1872,1546,3170,0,16
0,0,0,32,35.83,32,35.83,0,0.00,-7,0,7,17.17,16.48,17.27,0.000,32.0,1875,1536,3280,0,16
0,0,0,31,35.83,31,35.83,0,0.00,18,28,-46,17.19,16.38,17.26,0.000,32.0,1877,1543,3392,0,16
0,0,0,30,35.83,30,35.83,0,0.00,10,30,-40,17.19,16.43,17.22,0.000,32.1,1875,1536,3503,0,16
0,0,0,30,35.84,30,35.84,0,0.00,2,22,-24,17.26,16.41,17.33,0.000,32.1,1875,1543,3614,0,16
0,0,0,30,35.84,30,35.84,0,0.00,24,26,-50,17.19,16.50,17.22,0.000,32.0,1873,1533,3726,0,16
