"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
0,0,0,36,35.84,36,35.84,0,0.00,74,-43,-31,17.70,16.83,16.41,0.000,32.9,1895,1509,-1,0,16
0,0,0,37,35.85,37,35.85,0,0.00,84,-35,-49,17.77,16.68,16.48,0.000,33.0,1888,1505,109,0,16
0,0,0,35,35.84,35,35.84,0,0.00,66,-61,-5,17.77,16.75,16.48,0.000,32.9,1892,1504,218,0,16
0,0,0,36,35.85,36,35.85,0,0.00,84,-39,-45,17.73,16.80,16.43,0.000,32.9,1894,1505,321,0,16
0,0,0,37,35.85,37,35.85,0,0.00,64,-55,-9,17.75,16.80,16.50,0.000,33.0,1896,1509,433,0,16
0,0,0,36,35.84,36,35.84,0,0.00,76,-61,-15,17.73,16.68,16.44,0.000,32.9,1891,1503,545,0,16
0,0,0,36,35.84,36,35.84,0,0.00,86,-35,-51,17.77,16.68,16.48,0.000,32.9,1895,1506,657,0,16
0,0,0,37,35.85,37,35.85,0,0.00,72,-43,-29,17.70,16.70,16.44,0.000,32.9,1893,1507,761,0,16
0,0,0,37,35.84,37,35.84,0,0.00,80,-39,-41,17.73,16.73,16.41,0.000,33.0,1893,1510,884,0,16
0,0,0,36,35.84,36,35.84,0,0.00,60,-59,-1,17.77,16.73,16.41,0.000,33.0,1894,1506,995,0,16
0,0,0,37,35.85,37,35.85,0,0.00,64,-59,-5,17.68,16.85,16.41,0.000,32.9,1894,1507,1107,0,16
0,0,0,36,35.85,36,35.85,0,0.00,72,-47,-25,17.71,16.73,16.44,0.000,32.9,1893,1506,1219,0,16
0,0,0,36,35.84,36,35.84,0,0.00,68,-41,-27,17.80,16.85,16.51,0.000,33.0,1890,1505,1329,0,16
0,0,0,34,35.84,34,35.84,0,0.00,76,-53,-23,17.82,16.80,16.53,0.000,33.0,1895,1504,1441,0,16
0,0,0,37,35.85,37,35.85,0,0.00,82,-41,-41,17.75,16.70,16.46,0.000,33.0,1890,1505,1553,0,16
0,0,0,36,35.84,36,35.84,0,0.00,76,-39,-37,17.73,16.73,16.44,0.000,32.9,1893,1506,1664,0,16
0,0,0,37,35.85,37,35.85,0,0.00,72,-57,-15,17.85,16.75,16.56,0.000,32.9,1893,1504,1774,0,16
0,0,0,37,35.85,37,35.85,0,0.00,80,-43,-37,17.68,16.73,16.39,0.000,32.9,1896,1508,1869,0,16
0,0,0,38,35.85,38,35.85,0,0.00,84,-45,-39,17.73,16.75,16.41,0.000,32.9,1897,1506,1980,0,16
0,0,0,39,35.84,39,35.84,0,0.00,72,-47,-25,17.73,16.77,16.38,0.000,32.9,1891,1503,2091,0,16
0,0,0,38,35.84,38,35.84,0,0.00,80,-49,-31,17.73,16.68,16.41,0.000,32.9,1896,1508,2201,0,16
0,0,0,36,35.84,36,35.84,0,0.00,76,-47,-29,17.71,16.70,16.43,0.000,32.9,1895,1507,2313,0,16
0,0,0,37,35.85,37,35.85,0,0.00,78,-45,-33,17.77,16.70,16.48,0.000,32.9,1892,1504,2417,0,16
0,0,0,37,35.84,37,35.84,0,0.00,80,-43,-37,17.71,16.77,16.44,0.000,33.0,1890,1501,2529,0,16
0,0,0,37,35.85,37,35.85,0,0.00,86,-41,-45,17.82,16.77,16.46,0.000,33.0,1894,1508,2641,0,16
