"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
0,0,0,31,35.84,31,35.84,0,0.00,12,22,-34,17.17,16.51,17.24,0.000,35.9,1874,1548,-2,0,16
0,0,0,31,35.82,31,35.82,0,0.00,14,22,-36,17.16,16.43,17.16,0.000,35.9,1875,1542,107,0,16
0,0,0,33,35.83,33,35.83,0,0.00,-3,14,-11,17.14,16.60,17.21,0.000,35.9,1874,1543,219,0,16
0,0,0,32,35.84,32,35.84,0,0.00,14,22,-36,17.17,16.55,17.17,0.000,35.9,1872,1548,326,0,16
0,0,0,32,35.85,32,35.85,0,0.00,18,30,-48,17.19,16.50,17.22,0.000,35.8,1870,1540,437,0,16
0,0,0,31,35.84,31,35.84,0,0.00,-19,0,19,17.17,16.58,17.27,0.000,35.8,1875,1544,547,0,16
0,0,0,32,35.83,32,35.83,0,0.00,8,22,-30,17.22,16.55,17.22,0.000,35.9,1870,1544,654,0,16
0,0,0,32,35.84,32,35.84,0,0.00,12,22,-34,17.10,16.53,17.19,0.000,35.9,1872,1549,765,0,16
0,0,0,32,35.84,32,35.84,0,0.00,-15,-7,22,17.10,16.48,17.17,0.000,36.0,1870,1545,876,0,16
0,0,0,33,35.85,33,35.85,0,0.00,-3,4,-1,17.17,16.50,17.26,0.000,35.9,1872,1545,983,0,16
0,0,0,32,35.85,32,35.85,0,0.00,14,24,-38,17.17,16.48,17.26,0.000,35.9,1871,1550,1094,0,16
0,0,0,33,35.82,33,35.82,0,0.00,10,16,-26,17.17,16.55,17.26,0.000,35.9,1873,1537,1201,0,16
0,0,0,32,35.83,32,35.83,0,0.00,8,26,-34,17.09,16.58,17.12,0.000,35.9,1874,1544,1311,0,16
164,105,9,112,35.80,112,35.80,0,0.00,-89,-414,503,16.28,21.54,12.89,0.000,35.8,2041,1695,1434,0,16
712,654,27,106,35.82,106,35.82,0,0.00,314,-434,120,20.37,17.68,12.76,0.000,35.9,1839,1565,1528,0,16
1994,1929,52,162,35.79,162,35.79,0,0.00,38,398,-436,17.65,12.08,21.22,0.000,36.3,1538,1300,1651,0,16
3444,3388,67,149,35.79,149,35.79,0,0.00,-401,-224,625,12.91,22.83,14.87,0.000,35.9,2034,1664,1747,0,16
5568,5524,85,148,35.80,148,35.80,0,0.00,52,477,-529,17.68,11.38,21.79,0.000,36.1,1549,1313,1857,0,16
8225,8159,105,166,35.79,166,35.79,0,0.00,622,-422,-200,23.45,14.74,12.62,0.000,35.9,1825,1548,1966,0,16
11368,11302,128,194,35.79,194,35.79,0,0.00,354,-657,303,20.88,19.83,10.20,0.000,35.9,2002,1661,2076,0,16
15054,14997,147,217,35.79,217,35.79,0,0.00,481,-665,184,22.15,18.90,9.96,0.000,35.9,2043,1722,2186,0,16
19217,19169,162,227,35.79,227,35.79,0,0.00,733,-240,-493,24.72,11.72,14.43,0.000,36.0,1784,1521,2294,0,16
23861,23841,179,180,35.80,180,35.80,0,0.00,-206,441,-235,14.92,14.13,21.79,0.000,36.1,1617,1310,2404,0,16
28559,28533,179,171,35.79,171,35.79,0,0.00,-244,-150,394,14.31,21.01,15.53,0.000,36.1,1909,1536,2515,0,16
33260,33228,178,164,35.80,164,35.80,0,0.00,443,-385,-58,21.88,16.26,12.81,0.000,36.0,1913,1596,2625,0,16
37958,37931,178,159,35.80,159,35.80,0,0.00,-5,380,-375,17.31,12.25,21.25,0.000,36.1,1569,1329,2734,0,16
42571,42542,178,165,35.80,165,35.80,0,0.00,-500,179,321,11.60,20.03,19.12,0.000,36.1,1784,1458,2843,0,16
47313,47284,178,163,35.81,163,35.81,0,0.00,296,-486,190,20.08,19.19,11.47,0.000,36.0,1995,1643,2953,0,16
51928,51909,178,147,35.81,147,35.81,0,0.00,288,104,-392,20.59,12.11,18.43,0.000,36.1,1684,1409,3062,0,16
