"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
0,0,0,35,35.84,35,35.84,0,0.00,18,34,-52,17.16,16.33,17.22,0.000,36.4,1862,1576,-1,0,16
0,0,0,33,35.84,33,35.84,0,0.00,12,24,-36,17.22,16.22,17.36,0.000,36.3,1864,1576,101,0,16
0,0,0,34,35.84,34,35.84,0,0.00,28,40,-68,17.16,16.21,17.29,0.000,36.4,1860,1581,219,0,16
0,0,0,36,35.83,36,35.83,0,0.00,18,40,-58,17.22,16.21,17.34,0.000,36.4,1860,1576,325,0,16
0,0,0,34,35.83,34,35.83,0,0.00,8,14,-22,17.33,16.34,17.41,0.000,36.3,1861,1578,430,0,16
0,0,0,33,35.83,33,35.83,0,0.00,20,28,-48,17.17,16.34,17.34,0.000,36.3,1864,1574,539,0,16
0,0,0,37,35.83,37,35.83,0,0.00,20,28,-48,17.27,16.34,17.39,0.000,36.3,1864,1574,661,0,16
0,0,0,34,35.83,34,35.83,0,0.00,24,28,-52,17.19,16.33,17.29,0.000,36.4,1863,1576,771,0,16
0,0,0,33,35.83,33,35.83,0,0.00,22,36,-58,17.22,16.22,17.36,0.000,36.3,1860,1574,867,0,16
64,13,2,58,35.80,58,35.80,0,0.00,-174,-367,541,15.40,22.00,13.45,0.000,36.3,1981,1604,976,0,16
571,526,25,102,35.80,102,35.80,0,0.00,197,-331,134,19.02,18.12,13.75,0.000,36.3,1849,1549,1085,0,16
1599,1539,48,144,35.80,144,35.80,0,0.00,308,120,-428,20.27,12.32,18.31,0.000,36.6,1607,1300,1194,0,16
3359,3316,69,168,35.80,168,35.80,0,0.00,-337,-93,430,13.55,21.29,16.06,0.000,36.4,2001,1637,1318,0,16
5524,5489,88,168,35.79,168,35.79,0,0.00,74,350,-424,17.87,12.30,20.68,0.000,36.6,1561,1304,1430,0,16
8172,8102,106,177,35.79,177,35.79,0,0.00,431,-333,-98,21.74,15.68,13.52,0.000,36.3,1849,1567,1539,0,16
11368,11275,123,181,35.78,181,35.78,0,0.00,352,-726,374,20.93,20.34,9.59,0.000,36.3,2036,1701,1651,0,16
15054,15026,149,202,35.78,202,35.78,0,0.00,330,-434,104,20.57,17.93,12.32,0.000,36.4,1933,1582,1761,0,16
19340,19317,168,231,35.81,231,35.81,0,0.00,362,-31,-331,21.20,13.01,16.72,0.000,36.4,1744,1475,1872,0,16
23903,23892,183,202,35.82,202,35.82,0,0.00,-146,243,-97,15.53,15.38,19.95,0.000,36.5,1653,1337,1981,0,16
28603,28575,180,184,35.79,184,35.79,0,0.00,-226,-168,394,14.52,21.10,15.19,0.000,36.5,1916,1540,2091,0,16
33301,33268,178,169,35.81,169,35.81,0,0.00,437,-349,-88,22.01,15.77,13.26,0.000,36.4,1914,1603,2201,0,16
38002,37972,178,160,35.79,160,35.79,0,0.00,-17,417,-400,16.95,12.37,21.44,0.000,36.5,1562,1325,2311,0,16
42656,42626,178,162,35.79,162,35.79,0,0.00,-480,96,384,11.99,20.54,18.34,0.000,36.6,1802,1473,2419,0,16
47398,47369,178,169,35.80,169,35.80,0,0.00,330,-466,136,20.57,18.48,11.77,0.000,36.4,1986,1646,2531,0,16
52099,52071,177,156,35.82,156,35.82,0,0.00,189,223,-412,19.47,11.74,19.71,0.000,36.5,1634,1356,2641,0,16
56797,56773,178,157,35.80,157,35.80,0,0.00,-438,273,165,12.10,18.71,19.91,0.000,36.6,1730,1415,2751,0,16
61583,61563,178,157,35.81,157,35.81,0,0.00,139,-434,295,18.68,19.71,12.42,0.000,36.4,1983,1626,2863,0,16
66239,66222,178,151,35.82,151,35.82,0,0.00,350,60,-410,20.88,12.35,17.58,0.000,36.5,1706,1433,2972,0,16
70981,70961,178,172,35.79,172,35.79,0,0.00,-401,410,-9,12.72,16.65,21.57,0.000,36.6,1642,1333,3082,0,16
75638,75612,178,171,35.80,171,35.80,0,0.00,-166,-444,610,15.36,22.93,12.52,0.000,36.4,1990,1614,3192,0,16
80380,80359,177,151,35.81,151,35.81,0,0.00,475,-123,-352,22.20,13.08,15.60,0.000,36.4,1779,1509,3303,0,16
85078,85055,177,161,35.80,161,35.80,0,0.00,-240,505,-265,14.48,13.92,22.44,0.000,36.6,1570,1310,3413,0,16
