Time [s],Channel 5
0.000000000,1
3.693509000,0
3.698738500,1
3.702731583,0
3.705435750,1
3.707998000,0
3.709928333,1
3.711876917,0
3.713413667,1
3.715014250,0
3.716307000,1
3.717679583,0
3.718804833,1
3.720015750,0
3.721018250,1
3.722107750,0
3.723016833,1
3.724011250,0
3.724844833,1
3.725763167,0
3.726535083,1
3.727388083,0
3.728110083,1
3.728909750,0
3.729588833,1
3.730342583,0
3.730983917,1
3.731698833,0
3.732308667,1
3.732989167,0
3.733570083,1
3.734219833,0
3.734778000,1
3.735397583,0
3.735929833,1
3.736527333,0
3.737039083,1
3.737614667,0
3.738107167,1
3.738661000,0
3.739136250,1
3.739671917,0
3.740131583,1
3.740650083,0
3.741095417,1
3.741598167,0
3.742030167,1
3.742517750,0
3.742937250,1
3.743411583,0
3.743819417,1
3.744280917,0
3.744677500,1
3.745126750,0
3.745513000,1
3.745950833,0
3.746327250,1
3.746753917,0
3.747121500,1
3.747537917,0
3.747896667,1
3.748303750,0
3.748654333,1
3.749052583,0
3.749395500,1
3.749785417,0
3.750121417,1
3.750503667,0
3.750832583,1
3.751208667,0
3.751530417,1
3.751898583,0
3.752215333,1
3.752577083,0
3.752888083,1
3.753242917,0
3.753548917,1
3.753898250,0
3.754198750,1
3.754541833,0
3.754837333,1
3.755175167,0
3.755466833,1
3.755798250,0
3.756084750,1
3.756411583,0
3.756693417,1
3.757015833,0
3.757293083,1
3.757610833,0
3.757884000,1
3.758196750,0
3.758466500,1
3.758774750,0
3.759040500,1
3.759344667,0
3.759606583,1
3.759906833,0
3.760165333,1
3.760461250,0
3.760716583,1
3.761008750,0
3.761260583,1
3.761549333,0
3.761798083,1
3.762083333,0
3.762329167,1
3.762611167,0
3.762853750,1
3.763132417,0
3.763372250,1
3.763647750,0
3.763884667,1
3.764156833,0
3.764391250,1
3.764660917,0
3.764894333,1
3.765159167,0
3.765388667,1
3.765652333,0
3.765879583,1
3.766140167,0
3.766364750,1
3.766623917,0
3.766845333,1
3.767100750,0
