Time [s],Channel 5
3.190956167,0
3.194769417,1
3.197849750,0
3.199940833,1
3.201994000,0
3.203539250,1
3.205146333,0
3.206403333,1
3.207744000,0
3.208819083,1
3.209991583,0
3.210941333,1
3.211988083,0
3.212847000,1
3.213802000,0
3.214587250,1
3.215463667,0
3.216192583,1
3.217009000,0
3.217690167,1
3.218456417,0
3.219099167,1
3.219823333,0
3.220433167,1
3.221120917,0
3.221703333,1
3.222360083,0
3.222918500,1
3.223549000,0
3.224084167,1
3.224689750,0
3.225205417,1
3.225789333,0
3.226287083,1
3.226853750,0
3.227333583,1
3.227880500,0
3.228347833,1
3.228877750,0
3.229331917,1
3.229847250,0
3.230291000,1
3.230790083,0
3.231220250,1
3.231709417,0
3.232128500,1
3.232606417,0
3.233016083,1
3.233482250,0
3.233883167,1
3.234340333,0
3.234733000,1
3.235180000,0
3.235566083,1
3.236004667,0
3.236382833,1
3.236813667,0
3.237186500,1
3.237610167,0
3.237976333,1
3.238393250,0
3.238753417,1
3.239165083,0
3.239519167,1
3.239923917,0
3.240272083,1
3.240670917,0
3.241013917,1
3.241406917,0
3.241744833,1
3.242132000,0
3.242465583,1
3.242846583,0
3.243176333,1
3.243551167,0
3.243877500,1
3.244246833,0
3.244569333,1
3.244934167,0
3.245252583,1
3.245613250,0
3.245928083,1
3.246284750,0
3.246594750,1
3.246947250,0
3.247254083,1
3.247603833,0
3.247905417,1
3.248249583,0
3.248549417,1
3.248889917,0
3.249186750,1
3.249523000,0
3.249817000,1
3.250150333,0
3.250441333,1
3.250771667,0
3.251059417,1
3.251386917,0
3.251672750,1
3.251995500,0
3.252278917,1
3.252599333,0
3.252879333,1
3.253197000,0
3.253474500,1
3.253789250,0
3.254064667,1
3.254376000,0
3.254649417,1
3.254958417,0
3.255229333,1
3.255538417,0
3.255805083,1
3.256108917,0
3.256376167,1
3.256677333,0
3.256942417,1
3.257242083,0
3.257505083,1
3.257802667,0
3.258063500,1
3.258358917,0
3.258617833,1
3.258910333,0
3.259168417,1
3.259459333,0
3.259716500,1
3.260004000,0
3.260258167,1
3.260544917,0
3.260798083,1
3.261083167,0
3.261334167,1
3.261617500,0
3.261867333,1
3.262148833,0
3.262397083,1
3.262676250,0
3.262922750,1
3.263200500,0
3.263445833,1
3.263720917,0
3.263964833,1
3.264238833,0
3.264480583,1
3.264753250,0
3.264993167,1
3.265262833,0
3.265503750,1
3.265770583,0
3.266007500,1
3.266273583,0
3.266509667,1
3.266773917,0
3.267008250,1
3.267270917,0
3.267503500,1
3.267764333,0
3.267995500,1
3.268254333,0
3.268484000,1
3.268741667,0
3.268970000,1
3.269225500,0
3.269452583,1
3.269706417,0
3.269931833,1
3.270184667,0
3.270408583,1
3.270659250,0
3.270882583,1
3.271131917,0
3.271353250,1
3.271601333,0
3.271822167,1
3.272068333,0
3.272287833,1
3.272533583,0
3.272751667,1
3.272995083,0
3.273212667,1
3.273455500,0
3.273671250,1
3.273912417,0
3.274127917,1
3.274367500,0
3.274581250,1
3.274820167,0
3.275033250,1
3.275270583,0
3.275482500,1
3.275718500,0
3.275929500,1
3.276164583,0
3.276374500,1
3.276607500,0
3.276816750,1
3.277049417,0
3.277257250,1
3.277487833,0
3.277694500,1
3.277924917,0
3.278130750,1
3.278358833,0
3.278563917,1
3.278791500,0
3.278995000,1
3.279221167,0
3.279424583,1
3.279649500,0
3.279851167,1
3.280075417,0
3.280276583,1
3.280499417,0
3.280699500,1
3.280921667,0
3.281121917,1
3.281341833,0
3.281540250,1
3.281760833,0
3.281958667,1
3.282177417,0
3.282374583,1
3.282593000,0
3.282789500,1
3.283006667,0
3.283202000,1
3.283419333,0
3.283614333,1
3.283829333,0
3.284024083,1
3.284239667,0
3.284433250,1
3.284647083,0
3.284840500,1
3.285054917,0
3.285247167,1
3.285460000,0
3.285652667,1
3.285865333,0
3.286056833,1
3.286268250,0
3.286459250,1
3.286670750,0
3.286860917,1
3.287070750,0
3.287261000,1
3.287470917,0
3.287660167,1
3.287868333,0
3.288057500,1
3.288267750,0
3.288454667,1
3.288661750,0
3.288849417,1
3.289057250,0
3.289244500,1
3.289450333,0
3.289637083,1
3.289842917,0
3.290029250,1
3.290234167,0
3.290419250,1
3.290624083,0
3.290809583,1
3.291013333,0
3.291197667,1
3.291400667,0
3.291585750,1
3.291787750,0
3.291970667,1
3.292172583,0
3.292356000,1
3.292557167,0
3.292738583,1
3.292939000,0
3.293121333,1
3.293321250,0
3.293502167,1
3.293700750,0
3.293882500,1
3.294081167,0
3.294260833,1
3.294459083,0
3.294638333,1
3.294836083,0
3.295014250,1
3.295210500,0
3.295389167,1
3.295585583,0
3.295763083,1
3.295957583,0
3.296135250,1
3.296330333,0
3.296507583,1
3.296700250,0
3.296876333,1
3.297071083,0
3.297245750,1
3.297437833,0
3.297612500,1
3.297804917,0
3.297979250,1
3.298170167,0
3.298343583,1
3.298536167,0
3.298708750,1
3.298897833,0
3.299070250,1
3.299259667,0
3.299432250,1
3.299620917,0
3.299792417,1
3.299980333,0
3.300152167,1
3.300339833,0
3.300510417,1
3.300697000,0
3.300867583,1
3.301054250,0
3.301224000,1
3.301409500,0
3.301578833,1
3.301764500,0
3.301933417,1
3.302119500,0
3.302286250,1
3.302470667,0
3.302638750,1
3.302822417,0
3.302992167,1
3.303172833,0
3.303339833,1
3.303522750,0
3.303689083,1
3.303870917,0
3.304037083,1
3.304221083,0
3.304384667,1
3.304565417,0
3.304730417,1
3.304913250,0
3.305076083,1
3.305256000,0
3.305419917,1
3.305599333,0
3.305763167,1
3.305942250,0
3.306105333,1
3.306283667,0
3.306446167,1
3.306624333,0
3.306786250,1
3.306963833,0
3.307125250,1
3.307302083,0
3.307463167,1
3.307640000,0
3.307800583,1
3.307977833,0
3.308136417,1
3.308312000,0
3.308472667,1
3.308646500,0
3.308805667,1
3.308981750,0
3.309138250,1
3.309312583,0
3.309470667,1
3.309644083,0
3.309801750,1
3.309975000,0
3.310131833,1
3.310304583,0
3.310461333,1
3.310633167,0
3.310789750,1
3.310961417,0
3.311117667,1
3.311289167,0
3.311444083,1
3.311615000,0
3.311770417,1
3.311940583,0
3.312095167,1
3.312264917,0
3.312419250,1
3.312590250,0
3.312742500,1
3.312911167,0
3.313064333,1
3.313232583,0
3.313385667,1
3.313553417,0
3.313705500,1
3.313872667,0
3.314024667,1
3.314191500,0
3.314343083,1
3.314509250,0
3.314660333,1
3.314826417,0
3.314977167,1
3.315142750,0
3.315293000,1
3.315458167,0
3.315608167,1
3.315773167,0
3.315922667,1
3.316087000,0
3.316236250,1
3.316400583,0
3.316549417,1
3.316714167,0
3.316861083,1
3.317025750,0
3.317172250,1
3.317335333,0
3.317482750,1
3.317645083,0
3.317792083,1
3.317954167,0
3.318102250,1
3.318262583,0
3.318409750,1
3.318569500,0
3.318717250,1
3.318875917,0
3.319021333,1
3.319180833,0
3.319325583,1
3.319484750,0
3.319629583,1
3.319788000,0
3.319931917,1
3.320089667,0
3.320233167,1
3.320390833,0
3.320533833,1
3.320691000,0
3.320833250,1
3.320990500,0
3.321131833,1
3.321288417,0
3.321431750,1
3.321585417,0
3.321726083,1
3.321881417,0
3.322021750,1
3.322176583,0
3.322316667,1
3.322470333,0
3.322610250,1
3.322763917,0
3.322902417,1
3.323055500,0
3.323193917,1
3.323346750,0
3.323484167,1
3.323636250,0
3.323773750,1
3.323925250,0
3.324062167,1
3.324213250,0
3.324349750,1
3.324500583,0
3.324636750,1
3.324786917,0
3.324922583,1
3.325072250,0
3.325207917,1
3.325357500,0
3.325492583,1
3.325641500,0
3.325777833,1
3.325924417,0
3.326058917,1
3.326208000,0
3.326341333,1
3.326489083,0
3.326622333,1
3.326771667,0
3.326904500,1
3.327050833,0
3.327183583,1
3.327330000,0
3.327462333,1
3.327609000,0
3.327741417,1
3.327887750,0
3.328019250,1
3.328164917,0
3.328296250,1
3.328442167,0
3.328573333,1
3.328718750,0
3.328850250,1
3.328993917,0
3.329124417,1
3.329269167,0
3.329399500,1
3.329546333,0
3.329673167,1
3.329817000,0
3.329946500,1
3.330090417,0
3.330219417,1
3.330362667,0
3.330491250,1
3.330634417,0
3.330762833,1
3.330906083,0
3.331034083,1
3.331176417,0
3.331304083,1
3.331446167,0
3.331574000,1
3.331716250,0
3.331843083,1
3.331984500,0
3.332111083,1
3.332252583,0
3.332379250,1
3.332520583,0
3.332647167,1
3.332787333,0
3.332913000,1
3.333053750,0
3.333179417,1
3.333320250,0
3.333445250,1
3.333585250,0
3.333709833,1
3.333849917,0
3.333974917,1
3.334114917,0
3.334239167,1
3.334378333,0
3.334502083,1
3.334641417,0
3.334765333,1
3.334904583,0
3.335027833,1
3.335166333,0
3.335289250,1
3.335427667,0
3.335550917,1
3.335690750,0
3.335811917,1
3.335949667,0
3.336071500,1
3.336209333,0
3.336331583,1
3.336469583,0
3.336591250,1
3.336728250,0
3.336849417,1
3.336986417,0
3.337107583,1
3.337245000,0
3.337365833,1
3.337504083,0
3.337622333,1
3.337760417,0
3.337878833,1
3.338016667,0
3.338135500,1
3.338272750,0
3.338390833,1
3.338526250,0
3.338645667,1
3.338781333,0
3.338900750,1
3.339036000,0
3.339154750,1
3.339289583,0
3.339408333,1
3.339543250,0
3.339661833,1
3.339796333,0
3.339914333,1
3.340048250,0
3.340166250,1
3.340300750,0
3.340418167,1
3.340552167,0
3.340669417,1
3.340804333,0
3.340919917,1
3.341053250,0
3.341170417,1
3.341303750,0
3.341420500,1
3.341553333,0
3.341669500,1
3.341802333,0
3.341918583,1
3.342051417,0
3.342167583,1
3.342299833,0
3.342415500,1
3.342547333,0
3.342662917,1
3.342795167,0
3.342910417,1
3.343043917,0
3.343157000,1
3.343288250,0
3.343403333,1
3.343534833,0
3.343649583,1
3.343783667,0
3.343894917,1
3.344025667,0
3.344139750,1
3.344272667,0
3.344384833,1
3.344515333,0
3.344629083,1
3.344759083,0
3.344872500,1
3.345004083,0
3.345116000,1
3.345246167,0
3.345359250,1
3.345488667,0
3.345601333,1
3.345730750,0
3.345843583,1
3.345972917,0
3.346085583,1
3.346214500,0
3.346326750,1
3.346455500,0
3.346568250,1
3.346696333,0
3.346808583,1
3.346936917,0
3.347048667,1
3.347176833,0
3.347288167,1
3.347417833,0
3.347528000,1
3.347655750,0
3.347766917,1
3.347894333,0
3.348005083,1
3.348134750,0
3.348243583,1
3.348370917,0
3.348481500,1
3.348608167,0
3.348718417,1
3.348845333,0
3.348955500,1
3.349082333,0
3.349192583,1
3.349318833,0
3.349428583,1
3.349554667,0
3.349664250,1
3.349790583,0
3.349900167,1
3.350025917,0
3.350135250,1
3.350260500,0
3.350369417,1
3.350495083,0
3.350604000,1
3.350729500,0
3.350838167,1
3.350963083,0
3.351071500,1
3.351196417,0
3.351304667,1
3.351429667,0
3.351537917,1
3.351662417,0
3.351770250,1
3.351894250,0
3.352002083,1
3.352126583,0
3.352234333,1
3.352358500,0
3.352466000,1
3.352589667,0
3.352696667,1
3.352820167,0
3.352927917,1
3.353051000,0
3.353158250,1
3.353281250,0
3.353388750,1
3.353511333,0
3.353617250,1
3.353741417,0
3.353846667,1
3.353969417,0
3.354075917,1
3.354198083,0
3.354304083,1
3.354427417,0
3.354532167,1
3.354654500,0
3.354761417,1
3.354882250,0
3.354987917,1
3.355109500,0
3.355214667,1
3.355336250,0
3.355441750,1
3.355564083,0
3.355668417,1
3.355790333,0
3.355894333,1
3.356015250,0
3.356120083,1
3.356240917,0
3.356346000,1
3.356466667,0
3.356571000,1
3.356691583,0
3.356795750,1
3.356915917,0
3.357020500,1
3.357142083,0
3.357244750,1
3.357364833,0
3.357468583,1
3.357588417,0
3.357692333,1
3.357811833,0
3.357915583,1
3.358035250,0
3.358138583,1
3.358257917,0
3.358361417,1
3.358480417,0
3.358583500,1
3.358704500,0
3.358805417,1
3.358924500,0
3.359027417,1
3.359145750,0
3.359248500,1
3.359366917,0
3.359469333,1
3.359587833,0
3.359690417,1
3.359809500,0
3.359910583,1
3.360028417,0
3.360130250,1
3.360248167,0
3.360350333,1
3.360467833,0
3.360569750,1
3.360687000,0
3.360788583,1
3.360906250,0
3.361009083,1
3.361124083,0
3.361225750,1
3.361342667,0
3.361443417,1
3.361560000,0
3.361661083,1
3.361777500,0
3.361878667,1
3.361995167,0
3.362095833,1
3.362212917,0
3.362312667,1
3.362428250,0
3.362528917,1
3.362644917,0
3.362745417,1
3.362861333,0
3.362961667,1
3.363076917,0
3.363176917,1
3.363292333,0
3.363392250,1
3.363507750,0
3.363607917,1
3.363723500,0
3.363822583,1
3.363937500,0
3.364036750,1
3.364151667,0
3.364251583,1
3.364366833,0
3.364465750,1
3.364580250,0
3.364679417,1
3.364793583,0
3.364892917,1
3.365007083,0
3.365106417,1
3.365220833,0
3.365320000,1
3.365433500,0
3.365532583,1
3.365647083,0
3.365744917,1
3.365859000,0
3.365957750,1
3.366071167,0
3.366169833,1
3.366284250,0
3.366381417,1
3.366494917,0
3.366593250,1
3.366706417,0
3.366805083,1
3.366918083,0
3.367015917,1
3.367130417,0
3.367227083,1
3.367339667,0
3.367437917,1
3.367550833,0
3.367648583,1
