x, y
0.05263198049444907, -88.68759649561218
0.1447368421052632, -87.35672788420693
0.2631578947368421, -83.69683920284257
0.315789875231291, -74.0480417701547
0.28947368421052616, -79.3715162157756
0.37499999999999983, -67.39369871312859
0.42763157894736836, -58.41035589358672
0.4868421052631579, -49.09425530630673
0.5526315789473685, -37.78187210936234
0.6184210526315791, -23.807751689607485
0.6973684210526316, -13.160812952087397
0.7500000000000002, -4.1774396713804265
0.8092109278628701, 6.136792067010077
0.8750004015470807, 15.452872346846618
0.960526315789474, 25.101659625812815
1.0592105263157896, 37.744921587884136
1.1644736842105263, 46.728274561147714
1.2565789473684215, 58.373374910943426
1.361842105263158, 66.69129865536522
1.4802631578947372, 74.34380332466696
1.592105263157895, 74.34380332466696
1.7105263157894741, 76.34011131863565
1.8092105263157894, 77.67097485318001
1.8947372436523442, 77.00554562433828
1.9802631578947367, 76.34011131863565
2.0526315789473686, 77.67097485318001
2.1578951383891867, 74.67652555437911
2.2302631578947376, 73.34564171239137
2.276315789473685, 74.01109124867654
2.361842105263158, 72.68021756041043
2.4342105263157903, 71.01663179615389
2.493421052631579, 70.68391464330259
2.552631980494449, 70.68391464330259
2.6118421052631584, 70.01847018387829
2.6513157894736845, 70.01847018387829
2.6907894736842106, 68.68761680305562
2.7368421052631584, 67.35674311478954
2.7894736842105265, 68.02218249735299
2.8684210526315796, 66.35859673309648
2.93421052631579, 63.69685951028603
3, 61.035117210614715
3.052631578947369, 60.70240005776341
3.125, 59.70425367607035
3.243421052631579, 52.717193466192924
3.3092105263157903, 42.07024457495112
3.3815789473684217, 30.75786137800671
3.4473684210526323, 18.447316568786675
3.5328947368421058, 7.1349435255639975
3.611842105263159, -5.175591129934347
3.690789473684211, -16.82069147973006
3.7828947368421053, -31.792963358038833
3.888157894736842, -48.76153815345543
3.9736842105263164, -61.40478996180508
4.0394736842105265, -74.38075892300601
4.105263157894737, -83.69683920284257
4.24342105263158, -87.68944503705825
4.388157894736842, -85.36042496709909
