x, y
0.02739726027397262, 69.48096885813149
0.16438356164383555, 70.31141868512111
0.2904109589041095, 70.31141868512111
0.4219181426583905, 70.86505190311419
0.5753424657534245, 71.41868089722101
0.668493485124144, 72.52595155709344
0.7232880056720892, 74.74048442906573
0.8602743070419521, 70.0345978522383
0.9479452054794522, 59.7923875432526
1.0136986301369864, 47.88927335640139
1.1013698630136985, 33.2179846318123
1.1945205479452052, 21.31487889273356
1.304109589041096, 9.134948096885836
1.4465753424657535, -0.000008447772486874783
1.6438356164383559, -1.6608996539792429
1.775342465753425, -5.259515570934241
1.9068493150684926, -8.304506717668673
2.0219178082191775, -9.134948096885822
2.1369863013698627, -8.027681660899646
2.2410958904109584, -11.349480968858117
2.3232876712328765, -17.162629757785453
2.410958904109589, -25.743944636678187
2.498630136986301, -37.92387543252593
2.591780821917808, -53.42560553633217
2.663013698630137, -65.32873661872836
2.7945205479452047, -73.07958477508652
2.854794520547945, -70.03460207612454
3.002739726027397, -68.92733564013838
3.1726027397260266, -69.20415224913494
3.4904109589041092, -69.20415224913494
