x, y
0.038251366120218656, 47.98780487804879
0.21038280549596564, 49.79094076655052
0.42554673992219527, 47.98780487804879
0.5259562841530055, 49.1898924133088
0.7219945355191258, 50.99303135888502
0.8319675049495178, 41.376306620209064
0.937158469945355, 22.14285714285714
1.0614754098360657, 5.313588850174213
1.118852750851157, 3.5104468475235464
1.458333333333333, -4.102787456445995
1.9030054644808745, -6.5069747552639114
2.1277322404371586, -11.916376306620208
2.1755464480874314, -24.538327526132406
2.223360655737705, -44.17247386759581
2.35724043715847, -52.58710801393728
2.658469945355191, -54.39024390243904
2.878415300546448, -54.59059233449477
3.0505464480874314, -54.189895470383284
1.6734972677595625, -4.503490434706421
